"BF","D","EL","Delta_AIQ","HCI","t","Significant","AGNT1","AGNT2"
BF5,1.0,100000,-8.8,0.6,-26.82,yes,Freq,H_l
BF5,1.0,100000,-6.2,0.6,-18.94,yes,Freq,Q_0
BF5,1.0,100000,-6.6,0.7,-19.77,yes,Freq,Q_l
BF5,1.0,100000,-5.4,0.6,-17.04,yes,Freq,VPG
BF5,1.0,100000,-7.8,0.6,-23.98,yes,Freq,PPO
BF5,1.0,100000,2.6,0.6,7.87,yes,H_l,Q_0
BF5,1.0,100000,2.2,0.7,6.54,yes,H_l,Q_l
BF5,1.0,100000,3.4,0.6,10.63,yes,H_l,VPG
BF5,1.0,100000,1.0,0.6,3.05,yes,H_l,PPO
BF5,1.0,100000,-0.4,0.7,-1.19,no,Q_0,Q_l
BF5,1.0,100000,0.8,0.6,2.51,no,Q_0,VPG
BF5,1.0,100000,-1.6,0.6,-4.89,yes,Q_0,PPO
BF5,1.0,100000,1.2,0.6,3.68,yes,Q_l,VPG
BF5,1.0,100000,-1.2,0.7,-3.59,yes,Q_l,PPO
BF5,1.0,100000,-2.4,0.6,-7.57,yes,VPG,PPO
